Rank,Name,Age,Net_Worth,Income Source,Residence,Citizenship,Marital Status,Children,Education,Image,Profile Link
70 ,Devendra Jain,93,$3B,chemicals,"Delhi, India",India,Married,4,"Bachelor of Arts/Science, Delhi University",https://specials-images.forbesimg.com/imageserve/5c7099aa4bbe6f65d4665b1b/832x832.jpg?background=000000&cropX1=510&cropX2=2248&cropY1=882&cropY2=2621,https://www.forbes.com//profile/devendra-jain/?list=india-billionaires
71 ,Lachhman Das Mittal,91,$2.3B,tractors,"Delhi, India",India,Married,5,"Bachelor of Arts/Science, Punjab University; Master of Arts, Punjab University",https://specials-images.forbesimg.com/imageserve/59cc1536a7ea434a34f46d14/832x832.jpg?background=000000&cropX1=918&cropX2=1964&cropY1=133&cropY2=1180,https://www.forbes.com//profile/lachhman-das-mittal/?list=india-billionaires
72 ,Vijay Chauhan,86,$2.9B,biscuits,"Mumbai, India",India,"Bachelor of Arts/Science, Massachusetts Institute of Technology",,,https://specials-images.forbesimg.com/imageserve/55f8d045e4b0ffa7afe4a002/832x832.jpg?background=000000&cropX1=55&cropX2=707&cropY1=187&cropY2=840,https://www.forbes.com//profile/vijay-chauhan/?list=india-billionaires
73 ,Amalgamations family,tractors,$2.89B,"Chennai, India",India,,,,,https://specials-images.forbesimg.com/imageserve/615b2c6750df12838dfe0d89/832x832.jpg?background=000000&cropX1=29&cropX2=651&cropY1=5&cropY2=627,https://www.forbes.com//profile/amalgamations/?list=india-billionaires
74 ,Ramesh Kumar and Mukand Lal Dua,footwear,$2.85B,"Delhi, India",India,,,,,https://specials-images.forbesimg.com/imageserve/615b2c19945339efb9f49baa/832x832.jpg?background=000000&cropX1=721&cropX2=1165&cropY1=55&cropY2=499,https://www.forbes.com//profile/ramesh-kumar-and-mukand-lal-dua/?list=india-billionaires
75 ,Gupta family,pharmaceuticals,$2.82B,"Mumbai, India",India,,,,,https://specials-images.forbesimg.com/imageserve/59d3d87431358e542c034506/832x832.jpg?background=000000&cropX1=451&cropX2=1695&cropY1=236&cropY2=1480,https://www.forbes.com//profile/gupta/?list=india-billionaires
76 ,Vikas Oberoi,52,$3.5B,real estate,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai",https://specials-images.forbesimg.com/imageserve/5d9f5a6d4223bf0006b829d4/832x832.jpg?background=000000&cropX1=210&cropX2=1212&cropY1=7&cropY2=1010,https://www.forbes.com//profile/vikas-oberoi/?list=india-billionaires
77 ,K. Dinesh,68,$2.3B,"software services, Self Made","Bangalore, India",India,Married,2,"Master of Science, Bangalore University",https://specials-images.forbesimg.com/imageserve/5e768d54c7b02d000666cf70/832x832.jpg?background=000000&cropX1=360&cropX2=1263&cropY1=184&cropY2=1087,https://www.forbes.com//profile/k-dinesh/?list=india-billionaires
78 ,Kalanithi Maran,57,$2.5B,"media, Self Made","Chennai, India",India,Married,1,"Master of Business Administration, University of Scranton",https://specials-images.forbesimg.com/imageserve/615b2ce02324216fa0fe0d6d/832x832.jpg?background=000000&cropX1=164&cropX2=1058&cropY1=91&cropY2=986,https://www.forbes.com//profile/kalanithi-maran/?list=india-billionaires
79 ,P.P. Reddy,64,$2.73B,"infrastructure, Self Made","Hyderabad, India",India,,,,https://specials-images.forbesimg.com/imageserve/5c7feb8131358e35dd282c71/832x832.jpg?background=000000&cropX1=1592&cropX2=3377&cropY1=807&cropY2=2591,https://www.forbes.com//profile/pp-reddy-family/?list=india-billionaires
80 ,Sanjiv Goenka,61,$2.4B,diversified,"Kolkata, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University",https://specials-images.forbesimg.com/imageserve/5d9f6b4867dd830006a32602/832x832.jpg?background=000000&cropX1=202&cropX2=1568&cropY1=3&cropY2=1368,https://www.forbes.com//profile/sanjiv-goenka/?list=india-billionaires
