Expected Average Salary,Role,Education
Avg. Salary - ₹27.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹11.9 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Post Graduation Not Required
Avg. Salary - ₹11.9 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Post Graduation Not Required
Avg. Salary - ₹18.6 Lakhs,"['RoleData Scientist', 'Industry TypeElectrical Equipment', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹14.2 Lakhs,"['RoleData Scientist', 'Industry TypeIndustrial Automation', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeFood Processing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹38.7 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹7.3 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeFood Processing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeIndustrial Equipment / Machinery', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹27.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹40.3 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeMedical Services / Hospital', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹13.8 Lakhs,"['RoleData Scientist', 'Industry TypeElectronic Components / Semiconductors', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeInternet', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹43.7 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹9.4 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :B.Tech/B.E. in Computers
Avg. Salary - ₹12.3 Lakhs,"['RoleData Scientist', 'Industry TypeAccounting / Auditing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Post Graduation Not Required
Avg. Salary - ₹27.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,,
,,
,"['RoleData Scientist', 'Industry TypeInternet', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
